Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
WHISTLER GRAND,"1,736,760","1,270.15","1,367",01 Feb 2020,109 WEST COAST VALE #23-18,New Sale,Strata,118,"14,718",-,Apartment,1,99 yrs from 07/05/2018,Uncompleted,Private,126752,05,12,West Region,Clementi
THE TAPESTRY,"1,216,620",925.7,"1,314",01 Feb 2020,55 TAMPINES STREET 86 #06-25,New Sale,Strata,86,"14,147",-,Condominium,1,99 yrs from 31/07/2017,Uncompleted,HDB,528541,18,52,East Region,Tampines
JUI RESIDENCES,"1,280,152",710.42,"1,802",01 Feb 2020,1177 SERANGOON ROAD #07-07,New Sale,Strata,66,"19,396",-,Apartment,1,Freehold,Uncompleted,N.A,328231,12,32,Central Region,Kallang
ARTRA,"2,190,000","1,119.46","1,956",01 Feb 2020,10 ALEXANDRA VIEW #37-11,New Sale,Strata,104,"21,058",-,Apartment,1,99 yrs from 15/02/2016,Uncompleted,HDB,158745,03,15,Central Region,Bukit Merah
TREASURE AT TAMPINES,"924,112",678.13,"1,363",01 Feb 2020,11 TAMPINES LANE #06-41,New Sale,Strata,63,"14,668",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,HDB,528480,18,52,East Region,Tampines
WHISTLER GRAND,"1,731,840","1,270.15","1,363",01 Feb 2020,109 WEST COAST VALE #22-18,New Sale,Strata,118,"14,677",-,Apartment,1,99 yrs from 07/05/2018,Uncompleted,N.A,126752,05,12,West Region,Clementi
PIERMONT GRAND,"951,750",839.59,"1,134",01 Feb 2020,40 SUMANG WALK #06-37,New Sale,Strata,78,"12,202",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828625,19,82,North East Region,Punggol
TREASURE AT TAMPINES,"1,785,112","1,323.97","1,348",01 Feb 2020,19 TAMPINES LANE #08-71,New Sale,Strata,123,"14,513",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,HDB,528476,18,52,East Region,Tampines
THE WOODLEIGH RESIDENCES,"1,796,000",958,"1,875",01 Feb 2020,17 BIDADARI PARK DRIVE #11-11,New Sale,Strata,89,"20,180",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,N.A,367806,13,36,Central Region,Toa Payoh
THE TRE VER,"1,686,112","1,097.93","1,536",01 Feb 2020,66 POTONG PASIR AVENUE 1 #07-30,New Sale,Strata,102,"16,531",-,Condominium,1,99 yrs from 27/03/2018,Uncompleted,Private,358394,13,35,Central Region,Toa Payoh
MAYFAIR MODERN,"1,813,000",968.76,"1,871",01 Feb 2020,2 RIFLE RANGE ROAD #08-04,New Sale,Strata,90,"20,144",-,Condominium,1,99 yrs from 18/09/2018,Uncompleted,Private,588373,21,58,Central Region,Bukit Timah
PARC ESTA,"2,060,000","1,227.1","1,679",01 Feb 2020,908 SIMS AVENUE #11-39,New Sale,Strata,114,"18,070",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,N.A,408970,14,40,Central Region,Geylang
PARC ESTA,"1,241,000",742.72,"1,671",01 Feb 2020,916 SIMS AVENUE #02-71,New Sale,Strata,69,"17,986",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,Private,408974,14,40,Central Region,Geylang
PARC CLEMATIS,"1,067,000",688.9,"1,549",01 Feb 2020,8B JALAN LEMPENG #15-32,New Sale,Strata,64,"16,672",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128824,05,12,West Region,Clementi
AVENUE SOUTH RESIDENCE,"1,445,000",731.95,"1,974",01 Feb 2020,11 SILAT AVENUE #17-32,New Sale,Strata,68,"21,250",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,HDB,168877,03,16,Central Region,Bukit Merah
