Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
SEASIDE RESIDENCES,"1,242,800",592.02,"2,099",01 May 2020,16 SIGLAP LINK #23-23,New Sale,Strata,55,"22,596",-,Apartment,1,99 yrs from 18/04/2016,Uncompleted,Private,448872,15,44,East Region,Bedok
PARC ESTA,"1,240,000",742.72,"1,670",01 May 2020,914 SIMS AVENUE #04-62,New Sale,Strata,69,"17,971",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,HDB,408973,14,40,Central Region,Geylang
THE TAPESTRY,"728,740",473.62,"1,539",01 May 2020,61 TAMPINES STREET 86 #13-49,New Sale,Strata,44,"16,562",-,Condominium,1,99 yrs from 31/07/2017,Uncompleted,N.A,528510,18,52,East Region,Tampines
STIRLING RESIDENCES,"960,000",505.91,"1,898",01 May 2020,23 STIRLING ROAD #08-13,New Sale,Strata,47,"20,426",-,Apartment,1,99 yrs from 18/08/2017,Uncompleted,Private,148961,03,14,Central Region,Queenstown
TREASURE AT TAMPINES,"892,000",678.13,"1,315",01 May 2020,47 TAMPINES LANE #02-161,New Sale,Strata,63,"14,159",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,HDB,528462,18,52,East Region,Tampines
TREASURE AT TAMPINES,"929,000",678.13,"1,370",01 May 2020,11 TAMPINES LANE #09-42,New Sale,Strata,63,"14,746",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,HDB,528480,18,52,East Region,Tampines
DUNEARN 386,"1,628,000",667.37,"2,439",01 May 2020,386 DUNEARN ROAD #05-02,New Sale,Strata,62,"26,258",-,Apartment,1,Freehold,Uncompleted,HDB,289599,11,28,Central Region,Bukit Timah
THE TAPESTRY,"1,205,280",925.7,"1,302",01 May 2020,55 TAMPINES STREET 86 #04-25,New Sale,Strata,86,"14,015",-,Condominium,1,99 yrs from 31/07/2017,Uncompleted,HDB,528541,18,52,East Region,Tampines
TREASURE AT TAMPINES,"1,244,000",914.94,"1,360",01 May 2020,45 TAMPINES LANE #03-150,New Sale,Strata,85,"14,635",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528463,18,52,East Region,Tampines
THE TAPESTRY,"1,018,980",807.3,"1,262",02 May 2020,53 TAMPINES STREET 86 #15-17,New Sale,Strata,75,"13,586",-,Condominium,1,99 yrs from 31/07/2017,Uncompleted,HDB,528540,18,52,East Region,Tampines
THE ESSENCE,"750,000",538.2,"1,394",02 May 2020,1 CHONG KUO ROAD #03-10,New Sale,Strata,50,"15,000",-,Apartment,1,99 yrs from 04/05/2018,Uncompleted,N.A,779830,26,77,North Region,Yishun
AFFINITY AT SERANGOON,"813,000",538.2,"1,511",02 May 2020,26 SERANGOON NORTH AVENUE 1 #07-51,New Sale,Strata,50,"16,260",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,N.A,554340,19,55,North East Region,Serangoon
TREASURE AT TAMPINES,"1,125,000",914.94,"1,230",02 May 2020,55 TAMPINES LANE #03-194,New Sale,Strata,85,"13,235",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,HDB,528458,18,52,East Region,Tampines
TREASURE AT TAMPINES,"831,000",581.26,"1,430",02 May 2020,3 TAMPINES LANE #12-12,New Sale,Strata,54,"15,389",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,HDB,528483,18,52,East Region,Tampines
PARC CLEMATIS,"1,133,000",721.19,"1,571",02 May 2020,8 JALAN LEMPENG #06-15,New Sale,Strata,67,"16,910",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128796,05,12,West Region,Clementi
PIERMONT GRAND,"938,790",839.59,"1,118",03 May 2020,44 SUMANG WALK #08-47,New Sale,Strata,78,"12,036",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828627,19,82,North East Region,Punggol
KOPAR AT NEWTON,"1,564,000",688.9,"2,270",03 May 2020,6 MAKEWAY AVENUE #10-08,New Sale,Strata,64,"24,438",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,Private,228606,09,22,Central Region,Novena
JADESCAPE,"1,320,000",764.24,"1,727",03 May 2020,6 SHUNFU ROAD #13-23,New Sale,Strata,71,"18,592",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,HDB,575744,20,57,Central Region,Bishan
THE FLORENCE RESIDENCES,"726,000",484.38,"1,499",03 May 2020,95 HOUGANG AVENUE 2 #05-71,New Sale,Strata,45,"16,133",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,N.A,533754,19,53,North East Region,Hougang
THE FLORENCE RESIDENCES,"731,000",484.38,"1,509",03 May 2020,97 HOUGANG AVENUE 2 #07-80,New Sale,Strata,45,"16,244",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,Private,533753,19,53,North East Region,Hougang
THE FLORENCE RESIDENCES,"738,000",484.38,"1,524",03 May 2020,81 HOUGANG AVENUE 2 #08-01,New Sale,Strata,45,"16,400",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,HDB,538859,19,53,North East Region,Hougang
THE TAPESTRY,"983,180",688.9,"1,427",03 May 2020,53 TAMPINES STREET 86 #02-18,New Sale,Strata,64,"15,362",-,Condominium,1,99 yrs from 31/07/2017,Uncompleted,N.A,528540,18,52,East Region,Tampines
TREASURE AT TAMPINES,"961,000",678.13,"1,417",03 May 2020,3 TAMPINES LANE #05-09,New Sale,Strata,63,"15,254",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528483,18,52,East Region,Tampines
THE FLORENCE RESIDENCES,"731,000",484.38,"1,509",03 May 2020,81 HOUGANG AVENUE 2 #07-01,New Sale,Strata,45,"16,244",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,HDB,538859,19,53,North East Region,Hougang
BOTANIQUE AT BARTLEY,"1,125,000",731.95,"1,537",04 May 2020,229 UPPER PAYA LEBAR ROAD #14-18,Sub Sale,Strata,68,"16,544",-,Condominium,1,99 yrs from 14/04/2014,2019,Private,533871,19,53,North East Region,Serangoon
STRATUM,"790,000",893.41,884,04 May 2020,82 ELIAS ROAD #01-10,Resale,Strata,83,"9,518",-,Condominium,1,99 yrs from 11/07/2012,2016,Private,519946,18,51,East Region,Pasir Ris
