Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
THE GARDENS AT GERALD,"1,838,000","3,336.84",551,04 May 2020,39A GERALD DRIVE,Resale,Strata,310,"5,929",-,Terrace House,1,999 yrs from 01/01/1879,2007,HDB,797672,28,79,North East Region,Hougang
ECHELON,"1,675,000",861.12,"1,945",04 May 2020,9 ALEXANDRA VIEW #37-11,Resale,Strata,80,"20,938",-,Condominium,1,99 yrs from 06/03/2012,2016,HDB,158742,03,15,Central Region,Bukit Merah
KOPAR AT NEWTON,"1,597,000",688.9,"2,318",04 May 2020,6 MAKEWAY AVENUE #13-03,New Sale,Strata,64,"24,953",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,Private,228606,09,22,Central Region,Novena
THE TRE VER,"1,626,000","1,011.82","1,607",04 May 2020,66 POTONG PASIR AVENUE 1 #13-27,New Sale,Strata,94,"17,298",-,Condominium,1,99 yrs from 27/03/2018,Uncompleted,Private,358394,13,35,Central Region,Toa Payoh
NASSIM PARK RESIDENCES,"10,600,000","3,466.01","3,058",04 May 2020,19 NASSIM ROAD #03-12,Resale,Strata,322,"32,919",-,Condominium,1,Freehold,2011,Private,258461,10,25,Central Region,Tanglin
DORSETT RESIDENCES,"915,000",484.38,"1,889",04 May 2020,331 NEW BRIDGE ROAD #06-14,Resale,Strata,45,"20,333",-,Apartment,1,99 yrs from 07/12/2009,2013,HDB,088764,02,08,Central Region,Outram
THE ANTARES,"962,112",602.78,"1,596",04 May 2020,21 MATTAR ROAD #01-12,New Sale,Strata,56,"17,181",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,N.A,387729,14,38,Central Region,Geylang
CARDIFF RESIDENCE,"550,000",419.8,"1,310",04 May 2020,101 CARDIFF GROVE #02-03,Resale,Strata,39,"14,103",-,Condominium,1,99 yrs from 04/11/2011,2014,HDB,558961,19,55,North East Region,Serangoon
THE ORCHARD RESIDENCES,"9,650,000","2,852.46","3,383",04 May 2020,238 ORCHARD BOULEVARD #43-05,Resale,Strata,265,"36,415",-,Apartment,1,99 yrs from 13/03/2006,2010,Private,237973,09,23,Central Region,Orchard
DAHLIA PARK CONDOMINIUM,"950,000","1,291.68",735,04 May 2020,3 FLORA DRIVE #07-09,Resale,Strata,120,"7,917",-,Condominium,1,Freehold,2003,HDB,507010,17,50,East Region,Pasir Ris
VACANZA @ EAST,"868,000",807.3,"1,075",04 May 2020,50 LENGKONG TUJOH #08-36,Resale,Strata,75,"11,573",-,Condominium,1,Freehold,2014,Private,417398,14,41,East Region,Bedok
KOPAR AT NEWTON,"1,591,000",688.9,"2,309",04 May 2020,8 MAKEWAY AVENUE #08-17,New Sale,Strata,64,"24,859",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,Private,228607,09,22,Central Region,Novena
ARTRA,"4,731,500","2,583.36","1,832",04 May 2020,10 ALEXANDRA VIEW #41-01,New Sale,Strata,240,"19,715",-,Apartment,1,99 yrs from 15/02/2016,Uncompleted,Private,158745,03,15,Central Region,Bukit Merah
KOPAR AT NEWTON,"1,569,000",688.9,"2,278",04 May 2020,8 MAKEWAY AVENUE #02-13,New Sale,Strata,64,"24,516",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228607,09,22,Central Region,Novena
THE WOODLEIGH RESIDENCES,"1,156,000",667.37,"1,732",04 May 2020,21 BIDADARI PARK DRIVE #03-28,New Sale,Strata,62,"18,645",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,N.A,367795,13,36,Central Region,Toa Payoh
KOPAR AT NEWTON,"1,576,000",688.9,"2,288",04 May 2020,6 MAKEWAY AVENUE #11-08,New Sale,Strata,64,"24,625",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,HDB,228606,09,22,Central Region,Novena
WATERBANK AT DAKOTA,"1,370,000",882.65,"1,552",04 May 2020,70 DAKOTA CRESCENT #13-03,Resale,Strata,82,"16,707",-,Condominium,1,99 yrs from 07/12/2009,2013,HDB,399941,14,39,Central Region,Geylang
PARC CLEMATIS,"1,130,000",721.19,"1,567",04 May 2020,8 JALAN LEMPENG #05-15,New Sale,Strata,67,"16,866",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128796,05,12,West Region,Clementi
LEONIE PARC VIEW,"4,428,000","2,012.87","2,200",04 May 2020,22 LEONIE HILL ROAD #17-01,Resale,Strata,187,"23,679",-,Apartment,1,Freehold,2009,Private,239195,09,23,Central Region,River Valley
SELETAR HILLS ESTATE,"2,638,000","1,627.52","1,621",04 May 2020,80 JALAN SELASEH,Resale,Land,151.2,"17,447",-,Terrace House,1,999 yrs from 01/01/1879,2008,HDB,808486,28,80,North East Region,Serangoon
CASAFINA,"1,165,000","1,313.21",887,04 May 2020,215 BEDOK SOUTH AVENUE 1 #02-13,Resale,Strata,122,"9,549",-,Condominium,1,99 yrs from 12/06/1996,1999,Private,469338,16,46,East Region,Bedok
THE INFINITI,"1,480,000","1,345.5","1,100",04 May 2020,39F WEST COAST PARK #12-20,Resale,Strata,125,"11,840",-,Condominium,1,Freehold,2008,Private,127717,05,12,West Region,Clementi
PARC ESTA,"1,554,000","1,022.58","1,520",04 May 2020,900 SIMS AVENUE #02-04,New Sale,Strata,95,"16,358",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,N.A,408966,14,40,Central Region,Geylang
TREASURE AT TAMPINES,"934,000",678.13,"1,377",04 May 2020,11 TAMPINES LANE #10-42,New Sale,Strata,63,"14,825",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528480,18,52,East Region,Tampines
NORTH PARK RESIDENCES,"820,000",559.73,"1,465",05 May 2020,15 YISHUN CENTRAL 1 #12-14,Sub Sale,Strata,52,"15,769",-,Apartment,1,99 yrs from 19/03/2015,2018,Private,768797,27,76,North Region,Yishun
THE FLORENCE RESIDENCES,"745,000",484.38,"1,538",05 May 2020,97 HOUGANG AVENUE 2 #09-80,New Sale,Strata,45,"16,556",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,N.A,533753,19,53,North East Region,Hougang
THE FLORENCE RESIDENCES,"745,000",484.38,"1,538",05 May 2020,97 HOUGANG AVENUE 2 #09-81,New Sale,Strata,45,"16,556",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,HDB,533753,19,53,North East Region,Hougang
THE FLORENCE RESIDENCES,"996,000",667.37,"1,492",05 May 2020,91 HOUGANG AVENUE 2 #02-48,New Sale,Strata,62,"16,065",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,N.A,538864,19,53,North East Region,Hougang
WATERFRONT ISLE,"1,720,000","1,377.79","1,248",05 May 2020,730 BEDOK RESERVOIR ROAD #14-05,Resale,Strata,128,"13,438",-,Condominium,1,99 yrs from 26/11/2009,2015,Private,479261,16,47,East Region,Bedok
AMARYLLIS VILLE,"1,460,000",958,"1,524",05 May 2020,20 NEWTON ROAD #12-04,Resale,Strata,89,"16,404",-,Condominium,1,99 yrs from 24/10/1997,2004,Private,307953,11,30,Central Region,Novena
N.A.,"3,700,000","1,888.01","1,960",05 May 2020,9 JALAN PARAS,Resale,Land,175.4,"21,095",-,Terrace House,1,Freehold,-,Private,418862,14,41,East Region,Bedok
REZI 24,"1,088,000",699.66,"1,555",05 May 2020,39 LORONG 24 GEYLANG #05-04,New Sale,Strata,65,"16,738",-,Apartment,1,Freehold,Uncompleted,N.A,398636,14,39,Central Region,Geylang
COCO PALMS,"890,000",742.72,"1,198",05 May 2020,29 PASIR RIS GROVE #10-59,Resale,Strata,69,"12,899",-,Condominium,1,99 yrs from 07/01/2008,2018,Private,518074,18,51,East Region,Pasir Ris
PARC ESTA,"1,688,000","1,022.58","1,651",05 May 2020,916 SIMS AVENUE #11-77,New Sale,Strata,95,"17,768",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,N.A,408974,14,40,Central Region,Geylang
THE FLORENCE RESIDENCES,"1,470,000",936.47,"1,570",05 May 2020,93 HOUGANG AVENUE 2 #13-55,New Sale,Strata,87,"16,897",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,N.A,538865,19,53,North East Region,Hougang
SEMBAWANG HILLS ESTATE,"2,900,000","1,500.5","1,933",05 May 2020,118 NEMESU AVENUE,Resale,Land,139.4,"20,803",-,Terrace House,1,Freehold,-,Private,576341,20,57,North East Region,Ang Mo Kio
STIRLING RESIDENCES,"1,364,000",678.13,"2,011",05 May 2020,23 STIRLING ROAD #18-14,New Sale,Strata,63,"21,651",-,Apartment,1,99 yrs from 18/08/2017,Uncompleted,N.A,148961,03,14,Central Region,Queenstown
THE TAPESTRY,"732,060",473.62,"1,546",05 May 2020,61 TAMPINES STREET 86 #14-49,New Sale,Strata,44,"16,638",-,Condominium,1,99 yrs from 31/07/2017,Uncompleted,HDB,528510,18,52,East Region,Tampines
WHITEWATER,"838,000","1,140.98",734,05 May 2020,25 PASIR RIS STREET 72 #06-10,Resale,Strata,106,"7,906",-,Executive Condominium,1,99 yrs from 23/07/2002,2005,Private,518766,18,51,East Region,Pasir Ris
PARC CLEMATIS,"1,073,000",688.9,"1,558",05 May 2020,8B JALAN LEMPENG #14-31,New Sale,Strata,64,"16,766",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,HDB,128824,05,12,West Region,Clementi
VIEW AT KISMIS,"1,023,000",602.78,"1,697",05 May 2020,25 LORONG KISMIS #03-35,New Sale,Strata,56,"18,268",-,Apartment,1,99 yrs from 31/05/2019,Uncompleted,Private,596189,21,59,Central Region,Bukit Timah
THE SAIL @ MARINA BAY,"1,565,000",882.65,"1,773",05 May 2020,2 MARINA BOULEVARD #66-08,Resale,Strata,82,"19,085",-,Apartment,1,99 yrs from 12/08/2002,2008,Private,018987,01,01,Central Region,Downtown Core
TREASURE AT TAMPINES,"1,684,000","1,237.86","1,360",05 May 2020,25 TAMPINES LANE #09-89,New Sale,Strata,115,"14,643",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528473,18,52,East Region,Tampines
N.A.,"9,000,000","6,528.37","1,379",05 May 2020,32 GENTLE ROAD,Resale,Land,606.5,"14,839",-,Detached House,1,Freehold,1993,Private,309151,11,30,Central Region,Novena
FOURTH AVENUE RESIDENCES,"998,000",484.38,"2,060",05 May 2020,6 FOURTH AVENUE #04-13,New Sale,Strata,45,"22,178",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,Private,268673,10,26,Central Region,Bukit Timah
PARC ESTA,"1,556,000",958,"1,624",05 May 2020,912 SIMS AVENUE #08-55,New Sale,Strata,89,"17,483",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,N.A,408972,14,40,Central Region,Geylang
NORTHVALE,"940,000","1,259.39",746,05 May 2020,71 CHOA CHU KANG LOOP #11-17,Resale,Strata,117,"8,034",-,Apartment,1,99 yrs from 01/03/1995,1998,HDB,689673,23,68,West Region,Choa Chu Kang
CLOVER BY THE PARK,"2,200,000","2,163.56","1,017",05 May 2020,6 BISHAN STREET 25 #01-09,Resale,Strata,201,"10,945",-,Condominium,1,99 yrs from 10/09/2007,2011,Private,573975,20,57,Central Region,Bishan
WHISTLER GRAND,"1,413,680",958,"1,476",05 May 2020,109 WEST COAST VALE #30-21,New Sale,Strata,89,"15,884",-,Apartment,1,99 yrs from 07/05/2018,Uncompleted,N.A,126752,05,12,West Region,Clementi
AFFINITY AT SERANGOON,"804,000",473.62,"1,698",05 May 2020,28 SERANGOON NORTH AVENUE 1 #11-55,New Sale,Strata,44,"18,273",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,Private,554341,19,55,North East Region,Serangoon
ST FRANCIS COURT,"920,000","1,270.15",724,06 May 2020,90 ST. FRANCIS ROAD #10-02,Resale,Strata,118,"7,797",-,Apartment,1,99 yrs from 08/09/1992,1994,Private,328071,12,32,Central Region,Kallang
LUXUS HILLS,"3,408,000","1,614.6","2,111",06 May 2020,9 LUXUS HILL VIEW,Resale,Land,150,"22,720",-,Terrace House,1,999 yrs from 01/01/1879,2020,Private,804508,28,80,North East Region,Serangoon
FORTUNE JADE,"1,600,000","1,216.33","1,315",06 May 2020,501 DUNMAN ROAD #05-04,Resale,Strata,113,"14,159",-,Apartment,1,Freehold,2003,Private,439193,15,43,Central Region,Geylang
LE REGAL,"750,000",947.23,792,06 May 2020,340 GEYLANG ROAD #05-13,Resale,Strata,88,"8,523",-,Apartment,1,Freehold,2015,HDB,389365,14,38,Central Region,Geylang
BALMORAL GATE,"2,700,000","1,636.13","1,650",06 May 2020,33 BALMORAL ROAD #16-02,Resale,Strata,152,"17,763",-,Condominium,1,Freehold,1994,Private,259811,10,25,Central Region,Tanglin
THE FLORENCE RESIDENCES,"945,000",635.08,"1,488",06 May 2020,85 HOUGANG AVENUE 2 #03-19,New Sale,Strata,59,"16,017",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,N.A,538861,19,53,North East Region,Hougang
LEEDON GREEN,"1,410,000",538.2,"2,620",06 May 2020,32 LEEDON HEIGHTS #03-31,New Sale,Strata,50,"28,200",-,Condominium,1,Freehold,Uncompleted,N.A,266075,10,26,Central Region,Bukit Timah
N.A.,"4,880,000","2,674.85","1,824",06 May 2020,47 EVERITT ROAD,Resale,Land,248.5,"19,638",-,Semi-Detached House,1,Freehold,2018,Private,428601,15,42,Central Region,Geylang
THE ESSENCE,"745,000",538.2,"1,384",06 May 2020,1 CHONG KUO ROAD #03-05,New Sale,Strata,50,"14,900",-,Apartment,1,99 yrs from 04/05/2018,Uncompleted,HDB,779830,26,77,North Region,Yishun
EIGHT COURTYARDS,"850,000",893.41,951,06 May 2020,6 CANBERRA DRIVE #09-07,Resale,Strata,83,"10,241",-,Condominium,1,99 yrs from 20/09/2010,2014,HDB,768140,27,76,North Region,Yishun
JUI RESIDENCES,"1,504,126",893.41,"1,684",06 May 2020,1177 SERANGOON ROAD #09-02,New Sale,Strata,83,"18,122",-,Apartment,1,Freehold,Uncompleted,HDB,328231,12,32,Central Region,Kallang
PARC CLEMATIS,"1,301,000",828.83,"1,570",06 May 2020,8B JALAN LEMPENG #02-33,New Sale,Strata,77,"16,896",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,HDB,128824,05,12,West Region,Clementi
PARC CLEMATIS,"825,000",505.91,"1,631",06 May 2020,8E JALAN LEMPENG #09-50,New Sale,Strata,47,"17,553",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,HDB,128827,05,12,West Region,Clementi
SAVANNAH CONDOPARK,"1,150,000","1,453.14",791,06 May 2020,51 SIMEI RISE #04-43,Resale,Strata,135,"8,519",-,Condominium,1,99 yrs from 29/11/2000,2005,HDB,528789,18,52,East Region,Tampines
LAGUNA GREEN,"1,360,000","1,270.15","1,071",06 May 2020,20 JALAN HAJIJAH #04-31,Resale,Strata,118,"11,525",-,Condominium,1,99 yrs from 13/02/1995,1998,Private,468726,16,46,East Region,Bedok
PARC ESTA,"1,582,000","1,001.05","1,580",06 May 2020,902 SIMS AVENUE #03-18,New Sale,Strata,93,"17,011",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,Private,408967,14,40,Central Region,Geylang
PARC ESTA,"1,089,000",635.08,"1,715",06 May 2020,910 SIMS AVENUE #04-44,New Sale,Strata,59,"18,458",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,HDB,408971,14,40,Central Region,Geylang
MARINA ONE RESIDENCES,"1,560,000",699.66,"2,230",06 May 2020,21 MARINA WAY #18-05,Resale,Strata,65,"24,000",-,Apartment,1,99 yrs from 01/07/2011,2017,Private,018978,01,01,Central Region,Downtown Core
EIGHT RIVERSUITES,"1,440,888",979.52,"1,471",06 May 2020,6 WHAMPOA EAST #25-15,Resale,Strata,91,"15,834",-,Condominium,1,99 yrs from 11/07/2011,2016,HDB,338519,12,33,Central Region,Kallang
THE TAPESTRY,"798,660",602.78,"1,325",06 May 2020,51 TAMPINES STREET 86 #03-05,New Sale,Strata,56,"14,262",-,Condominium,1,99 yrs from 31/07/2017,Uncompleted,HDB,528539,18,52,East Region,Tampines
HAUS@SERANGOON GARDEN,"2,300,000","1,614.6","1,425",06 May 2020,7 SERANGOON GARDEN CLOSE,Resale,Land,150,"15,333",-,Terrace House,1,99 yrs from 28/11/2011,2016,Private,554401,19,55,North East Region,Serangoon
PARC CLEMATIS,"1,155,000",721.19,"1,602",06 May 2020,8A JALAN LEMPENG #19-23,New Sale,Strata,67,"17,239",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128823,05,12,West Region,Clementi
WOOLLERTON PARK,"19,500,000","14,315.04","1,362",06 May 2020,7 WOOLLERTON PARK,Resale,Land,"1,329.9","14,663",-,Detached House,1,Freehold,1990,Private,257515,10,25,Central Region,Tanglin
THE ARRIS,"1,230,000",667.37,"1,843",06 May 2020,28 YAN KIT ROAD #02-06,Resale,Strata,62,"19,839",-,Apartment,1,Freehold,2002,Private,088271,02,08,Central Region,Outram
WOODGROVE CONDOMINIUM,"1,200,000","1,743.77",688,06 May 2020,12 WOODGROVE DRIVE #01-61,Resale,Strata,162,"7,407",-,Condominium,1,99 yrs from 17/05/1997,1999,HDB,738212,25,73,North Region,Woodlands
VAN HOLLAND,"3,433,000","1,151.75","2,981",06 May 2020,188 HOLLAND ROAD #05-09,New Sale,Strata,107,"32,084",-,Condominium,1,Freehold,Uncompleted,N.A,278584,10,27,Central Region,Bukit Timah
SIMSVILLE,"950,000",968.76,981,06 May 2020,10 GEYLANG EAST AVENUE 2 #03-05,Resale,Strata,90,"10,556",-,Condominium,1,99 yrs from 01/12/1994,1998,HDB,389758,14,38,Central Region,Geylang
THE TESSARINA,"2,439,800","1,367.03","1,785",06 May 2020,26 WILBY ROAD #05-35,Resale,Strata,127,"19,211",-,Condominium,1,Freehold,2003,Private,276308,10,27,Central Region,Bukit Timah
BLOSSOMS @ WOODLEIGH,"1,380,000","1,001.05","1,379",06 May 2020,12 WOODLEIGH CLOSE #05-13,Resale,Strata,93,"14,839",-,Condominium,1,Freehold,2007,Private,357907,13,35,Central Region,Toa Payoh
VILLA MARTIA,"1,515,000","1,108.69","1,366",06 May 2020,11 MARTIA ROAD #01-11,Resale,Strata,103,"14,709",-,Condominium,1,Freehold,2000,HDB,424808,15,42,East Region,Bedok
WHITEWATER,"836,800","1,140.98",733,06 May 2020,31 PASIR RIS STREET 72 #08-24,Resale,Strata,106,"7,894",-,Executive Condominium,1,99 yrs from 23/07/2002,2005,HDB,518769,18,51,East Region,Pasir Ris
BELGRAVIA VILLAS,"3,400,000","3,961.15",858,06 May 2020,232 BELGRAVIA DRIVE,Resale,Strata,368,"9,239",-,Semi-Detached House,1,Freehold,2018,Private,804621,28,80,North East Region,Serangoon
MELVILLE PARK,"970,000","1,453.14",668,06 May 2020,16 SIMEI STREET 1 #10-16,Resale,Strata,135,"7,185",-,Condominium,1,99 yrs from 01/09/1992,1996,Private,529942,18,52,East Region,Tampines
WATERMARK ROBERTSON QUAY,"3,010,000","1,915.99","1,571",06 May 2020,1 RODYK STREET #10-07,Resale,Strata,178,"16,910",-,Apartment,1,Freehold,2008,Private,238212,09,23,Central Region,Singapore River
JUI RESIDENCES,"1,226,080",699.66,"1,752",07 May 2020,1177 SERANGOON ROAD #06-08,New Sale,Strata,65,"18,863",-,Apartment,1,Freehold,Uncompleted,HDB,328231,12,32,Central Region,Kallang
KOPAR AT NEWTON,"7,880,000","3,304.55","2,385",07 May 2020,8 MAKEWAY AVENUE #23-10,New Sale,Strata,307,"25,668",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228607,09,22,Central Region,Novena
THE WOODLEIGH RESIDENCES,"1,223,000",699.66,"1,748",07 May 2020,21 BIDADARI PARK DRIVE #05-23,New Sale,Strata,65,"18,815",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,N.A,367795,13,36,Central Region,Toa Payoh
PARC CANBERRA,"1,126,000","1,001.05","1,125",07 May 2020,9 CANBERRA WALK #05-20,New Sale,Strata,93,"12,108",-,Executive Condominium,1,99 yrs from 10/12/2018,Uncompleted,HDB,756945,27,75,North Region,Sembawang
THE GARDEN RESIDENCES,"734,900",452.09,"1,626",07 May 2020,1 SERANGOON NORTH VIEW #07-09,New Sale,Strata,42,"17,498",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,Private,554343,19,55,North East Region,Serangoon
GOLDEN MILE COMPLEX,"1,458,890","2,195.86",664,08 May 2020,5001 BEACH ROAD #15-76,Resale,Strata,204,"7,151",-,Apartment,1,99 yrs from 04/08/1969,1974,Private,199588,07,19,Central Region,Downtown Core
N.A.,"3,888,000","3,150.62","1,234",08 May 2020,17A TOH AVENUE,Resale,Land,292.7,"13,283",-,Semi-Detached House,1,Freehold,2019,Private,508063,17,50,East Region,Pasir Ris
AVENUE SOUTH RESIDENCE,"1,507,000",721.19,"2,090",08 May 2020,13 SILAT AVENUE #20-38,New Sale,Strata,67,"22,493",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,Private,168878,03,16,Central Region,Bukit Merah
THE CASCADIA,"2,030,000","1,237.86","1,640",08 May 2020,931 BUKIT TIMAH ROAD #03-22,Resale,Strata,115,"17,652",-,Condominium,1,Freehold,2010,Private,589643,21,58,Central Region,Bukit Timah
